Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Actual Wins (%),Pythagorean Wins (13.91) (%),Pythagorean Wins (16.5) (%),TS% Difference,Team TS%,Opp TS%
2004,MIN,SAC,7,91.9,93.0,98.9,100.2,0.468,0.445,15.1,12.1,25.1,22.1,0.224,0.244,False,-1.3,-1.1,2.3,3.0,3.0,-0.02,57.143,45.872,45.108,1.521,51.4532,49.9325
2005,DET,IND,6,86.0,79.0,101.8,93.5,0.448,0.423,13.4,14.5,30.7,26.5,0.24,0.201,False,8.3,7.0,2.5,-1.1,4.2,0.039,66.667,76.512,80.232,2.929,49.8262,46.8973
2005,MIA,WAS,4,103.5,94.5,111.3,101.6,0.56,0.44,16.6,11.9,28.4,27.8,0.252,0.263,False,9.7,9.0,12.0,4.7,0.6,-0.011,100.0,77.996,81.773,9.722,58.8536,49.1317
2005,PHO,DAL,6,117.5,110.8,118.4,111.7,0.536,0.486,11.8,11.0,32.0,31.8,0.231,0.218,False,6.7,6.7,5.0,0.8,0.2,0.013,66.667,69.353,72.487,4.583,57.4478,52.865
2005,SAS,SEA,6,98.7,91.8,113.2,105.3,0.507,0.473,14.5,13.6,31.1,31.2,0.344,0.258,True,7.9,6.9,3.4,0.9,-0.1,0.086,66.667,73.265,76.778,3.993,56.3938,52.4003
2006,DET,CLE,7,86.6,80.9,105.5,98.5,0.471,0.442,13.1,14.2,29.0,29.8,0.255,0.225,False,7.0,5.7,2.9,-1.1,-0.8,0.03,57.143,72.053,75.462,2.374,51.5061,49.1319
2006,MIA,NJN,5,102.0,95.6,112.7,105.6,0.548,0.497,13.6,13.5,21.6,22.9,0.341,0.253,True,7.1,6.4,5.1,0.1,-1.3,0.088,80.0,71.123,74.444,5.065,59.088,54.0235
2006,DAL,SAS,7,103.9,99.9,113.8,109.5,0.494,0.504,11.6,13.1,28.7,20.8,0.33,0.352,False,4.3,4.0,-1.0,-1.5,7.9,-0.022,57.143,63.323,65.651,-0.696,55.9128,56.6084
2006,PHO,LAC,7,112.3,113.3,116.3,117.4,0.536,0.535,9.8,12.7,20.2,32.0,0.21,0.254,False,-1.1,-1.0,0.1,-2.9,-11.8,-0.044,57.143,46.921,46.35,-0.769,57.5436,58.3123
2007,CLE,NJN,6,85.8,84.2,98.1,96.2,0.448,0.471,13.4,16.6,27.7,19.8,0.235,0.238,False,1.9,1.6,-2.3,-3.2,7.9,-0.003,66.667,56.509,57.703,-2.084,49.2578,51.342
2007,DET,CHI,6,93.0,87.5,105.8,99.6,0.471,0.443,13.3,15.3,31.7,30.2,0.226,0.304,False,6.2,5.5,2.8,-2.0,1.5,-0.078,66.667,70.014,73.221,1.834,51.6628,49.8292
2007,SAS,PHO,6,100.0,100.5,106.6,107.1,0.503,0.513,13.8,14.3,25.7,21.9,0.241,0.239,True,-0.5,-0.5,-1.0,-0.5,3.8,0.002,66.667,48.266,47.944,-1.304,54.5375,55.8416
2007,UTA,GSW,5,112.6,108.4,112.9,108.6,0.525,0.506,19.2,13.0,41.7,22.8,0.331,0.282,False,4.3,4.2,1.9,6.2,18.9,0.049,80.0,62.92,65.186,2.72,58.0939,55.3739
2008,BOS,CLE,7,84.0,85.1,99.8,101.1,0.455,0.446,14.5,14.3,26.2,26.4,0.276,0.303,True,-1.3,-1.1,0.9,0.2,-0.2,-0.027,57.143,45.488,44.654,0.692,51.2695,50.5771
2008,DET,ORL,5,91.6,90.2,108.2,106.5,0.444,0.525,8.1,15.6,27.0,27.6,0.261,0.196,False,1.7,1.4,-8.1,-7.5,-0.6,0.065,80.0,55.336,56.319,-4.251,50.6368,54.8875
2008,LAL,UTA,6,110.3,107.3,116.5,113.3,0.536,0.479,13.7,11.8,22.3,35.9,0.406,0.261,False,3.2,3.0,5.7,1.9,-13.6,0.145,66.667,59.473,61.183,6.882,60.2212,53.3395
2008,SAS,NOH,7,92.1,92.1,106.7,106.7,0.509,0.48,13.1,9.3,23.1,24.0,0.187,0.184,False,0.0,0.0,2.9,3.8,-0.9,0.003,57.143,50.0,50.0,2.404,54.1362,51.7324
2009,CLE,ATL,4,96.3,78.3,117.6,95.6,0.536,0.426,14.3,12.6,39.3,24.7,0.26,0.206,False,22.0,18.0,11.0,1.7,14.6,0.054,100.0,94.676,96.815,10.064,57.1284,47.0648
2009,ORL,BOS,7,96.0,91.7,106.7,101.9,0.504,0.473,12.6,13.6,19.9,23.0,0.251,0.247,False,4.8,4.3,3.1,-1.0,-3.1,0.004,57.143,65.417,68.051,1.951,54.5986,52.6471
2009,LAL,HOU,7,97.9,90.6,108.4,100.3,0.49,0.469,11.4,15.4,28.5,25.3,0.216,0.221,True,8.1,7.3,2.1,-4.0,3.2,-0.005,57.143,74.61,78.222,1.343,52.8713,51.528
2009,DEN,DAL,5,114.6,106.8,121.9,113.6,0.555,0.521,10.6,13.5,24.0,25.9,0.349,0.335,False,8.3,7.8,3.4,-2.9,-1.9,0.014,80.0,72.721,76.189,2.537,60.5606,58.0233
2010,BOS,CLE,6,100.5,95.2,108.4,102.7,0.503,0.48,12.3,15.5,23.7,21.5,0.266,0.367,False,5.7,5.3,2.3,-3.2,2.2,-0.101,66.667,67.997,70.97,0.067,54.7187,54.6516
2010,ORL,ATL,4,107.3,82.0,124.8,95.4,0.611,0.401,12.2,11.0,27.1,24.6,0.267,0.246,False,29.4,25.3,21.0,1.2,2.5,0.021,100.0,97.681,98.831,17.158,63.2669,46.1089
2010,LAL,UTA,4,109.3,102.0,120.3,112.3,0.529,0.482,11.3,10.4,33.5,30.6,0.282,0.239,True,8.0,7.3,4.7,0.9,2.9,0.043,100.0,72.342,75.778,4.978,57.8165,52.8388
2010,PHO,SAS,4,109.5,100.3,115.6,105.8,0.545,0.506,12.7,12.4,23.6,21.0,0.262,0.252,False,9.8,9.2,3.9,0.3,2.6,0.01,100.0,77.219,80.969,4.326,58.7383,54.4127
2011,CHI,ATL,6,92.7,85.7,108.6,100.4,0.489,0.462,12.1,12.2,30.0,22.3,0.197,0.215,False,8.2,7.0,2.7,-0.1,7.7,-0.018,66.667,74.879,78.508,2.478,53.0049,50.5269
2011,MIA,BOS,5,95.4,91.0,107.6,102.6,0.493,0.508,14.5,15.2,25.1,18.0,0.324,0.23,False,5.0,4.4,-1.5,-0.7,7.1,0.094,80.0,65.855,68.549,0.029,55.2954,55.2667
2011,DAL,LAL,4,102.3,88.3,116.0,100.1,0.575,0.446,14.3,11.6,21.1,28.9,0.213,0.175,True,15.9,14.0,12.9,2.7,-7.8,0.038,100.0,88.566,91.896,12.811,61.0084,48.1977
2011,OKC,MEM,7,103.6,99.6,109.5,105.3,0.491,0.43,14.7,11.0,31.4,31.7,0.296,0.267,False,4.2,4.0,6.1,3.7,-0.3,0.029,57.143,63.36,65.694,6.064,55.1213,49.0569
2012,MIA,IND,6,94.3,87.8,105.8,98.5,0.484,0.443,12.6,15.3,26.8,28.3,0.255,0.247,True,7.3,6.5,4.1,-2.7,-1.5,0.008,66.667,72.977,76.466,3.304,52.9685,49.6645
2012,BOS,PHI,7,89.1,85.4,100.5,96.3,0.468,0.443,14.4,12.8,19.8,25.8,0.244,0.204,False,4.2,3.7,2.5,1.6,-6.0,0.04,57.143,64.336,66.815,4.073,52.3209,48.2476
2012,SAS,LAC,4,102.8,91.3,112.9,100.3,0.564,0.508,14.3,14.0,21.8,19.1,0.212,0.154,False,12.6,11.5,5.6,0.3,2.7,0.058,100.0,83.892,87.626,6.256,59.2902,53.0338
2012,OKC,LAL,5,100.2,90.8,114.3,103.6,0.495,0.444,9.0,12.9,25.9,27.3,0.256,0.277,False,10.7,9.4,5.1,-3.9,-1.4,-0.021,80.0,79.742,83.554,3.959,54.9198,50.9608
2013,MIA,CHI,5,97.4,84.2,113.2,97.9,0.537,0.433,13.5,15.5,22.0,31.6,0.295,0.263,True,15.3,13.2,10.4,-2.0,-9.6,0.032,80.0,88.347,91.705,9.552,58.4325,48.8807
2013,IND,NYK,6,89.5,89.5,103.8,103.8,0.477,0.458,16.1,10.3,32.6,24.8,0.283,0.177,False,0.0,0.0,1.9,5.8,7.8,0.106,66.667,50.0,50.0,2.599,52.4988,49.8996
2013,MEM,OKC,5,93.6,89.6,101.7,97.3,0.434,0.44,9.9,13.9,23.0,23.3,0.267,0.234,False,4.4,4.0,-0.6,-4.0,-0.3,0.033,80.0,64.737,67.275,-0.223,49.3171,49.54
2013,SAS,GSW,6,102.0,98.2,106.6,102.6,0.486,0.475,10.9,12.9,23.7,27.9,0.213,0.171,False,4.0,3.8,1.1,-2.0,-4.2,0.042,66.667,62.904,65.168,2.032,52.5773,50.5458
2014,IND,WAS,6,89.0,86.8,99.2,96.8,0.478,0.458,12.5,14.4,13.4,28.0,0.234,0.176,False,2.4,2.2,2.0,-1.9,-14.6,0.058,66.667,58.617,60.18,2.979,52.0671,49.088
2014,MIA,BRK,5,97.8,92.4,118.1,111.5,0.56,0.527,10.7,13.5,17.2,28.1,0.277,0.176,False,6.6,5.4,3.3,-2.8,-10.9,0.101,80.0,68.784,71.853,5.376,60.8997,55.5235
2014,SAS,POR,5,108.8,95.4,112.3,98.5,0.53,0.453,8.8,14.4,22.0,24.7,0.167,0.183,True,13.8,13.4,7.7,-5.6,-2.7,-0.016,80.0,86.155,89.74,6.512,55.9027,49.3912
2014,OKC,LAC,6,107.2,106.3,112.6,111.7,0.524,0.5,14.3,9.7,28.0,24.5,0.305,0.195,False,0.9,0.9,2.4,4.6,3.5,0.11,66.667,52.929,53.472,4.912,58.1964,53.2839
2015,CLE,CHI,6,96.7,91.2,110.5,104.2,0.489,0.443,11.6,10.2,27.9,27.1,0.234,0.198,False,6.3,5.5,4.6,1.4,0.8,0.036,66.667,69.308,72.436,4.699,53.8193,49.12
2015,ATL,WAS,6,97.8,95.0,103.3,100.3,0.477,0.465,13.0,13.2,25.3,26.7,0.18,0.172,False,3.0,2.8,1.2,-0.2,-1.4,0.008,66.667,59.966,61.758,1.636,51.5382,49.9019
2015,HOU,LAC,7,109.4,112.6,106.2,109.2,0.505,0.521,13.7,12.1,25.1,21.2,0.299,0.257,False,-3.0,-3.2,-1.6,1.6,3.9,0.042,57.143,40.106,38.327,-1.533,54.2493,55.7821
2015,GSW,MEM,6,97.8,89.8,106.5,97.8,0.542,0.439,16.6,12.6,23.4,25.2,0.173,0.2,True,8.7,8.0,10.3,4.0,-1.8,-0.027,66.667,76.622,80.347,8.262,56.8975,48.6357
2016,CLE,ATL,4,112.0,99.5,122.0,108.4,0.573,0.515,12.2,13.3,31.0,22.8,0.16,0.194,True,13.6,12.5,5.8,-1.1,8.2,-0.034,100.0,83.837,87.573,3.503,58.9536,55.4503
2016,TOR,MIA,7,97.1,94.6,104.0,101.3,0.47,0.484,11.5,13.7,23.2,21.9,0.224,0.219,False,2.7,2.5,-1.4,-2.2,1.3,0.005,57.143,58.972,60.597,-1.697,51.1987,52.8957
2016,GSW,POR,5,118.6,114.2,117.1,112.8,0.548,0.501,11.3,11.0,25.8,24.2,0.225,0.234,False,4.3,4.4,4.7,0.3,1.6,-0.009,80.0,62.852,65.108,4.543,58.9323,54.3892
2016,OKC,SAS,6,100.8,101.3,107.5,108.1,0.497,0.499,13.7,9.7,28.0,18.9,0.246,0.171,False,-0.6,-0.5,-0.2,4.0,9.1,0.075,66.667,48.28,47.96,1.371,54.6898,53.3184
2017,CLE,TOR,4,116.3,101.0,119.6,103.9,0.593,0.491,13.1,10.1,18.2,14.6,0.277,0.168,False,15.7,15.3,10.2,3.0,3.6,0.109,100.0,87.675,91.112,10.838,63.6847,52.8464
2017,BOS,WAS,7,110.3,109.3,114.1,113.1,0.553,0.508,12.6,12.7,21.4,30.0,0.228,0.22,False,1.0,1.0,4.5,-0.1,-8.6,0.008,57.143,53.163,53.75,4.083,59.0395,54.9569
2017,GSW,UTA,4,111.0,96.0,115.5,99.9,0.545,0.473,10.1,11.4,16.8,15.1,0.236,0.211,True,15.6,15.0,7.2,-1.3,1.7,0.025,100.0,88.283,91.648,7.769,59.1937,51.4249
2017,SAS,HOU,6,108.5,103.5,112.9,107.7,0.512,0.515,10.9,12.4,30.3,20.7,0.166,0.174,False,5.2,5.0,-0.3,-1.5,9.6,-0.008,66.667,65.842,68.535,-0.806,53.9515,54.758
2018,BOS,PHI,5,106.4,103.4,109.9,106.8,0.522,0.473,10.9,11.6,17.7,28.7,0.23,0.208,False,3.1,3.0,4.9,-0.7,-11.0,0.022,80.0,59.817,61.584,4.852,56.2891,51.4366
2018,CLE,TOR,4,118.5,104.5,126.4,111.5,0.582,0.531,7.6,13.1,20.4,25.2,0.195,0.221,False,14.9,14.0,5.1,-5.5,-4.8,-0.026,100.0,85.181,88.84,3.891,61.0573,57.1663
2018,GSW,NOP,5,115.0,106.4,108.5,100.4,0.516,0.498,11.3,12.7,19.0,16.9,0.197,0.129,True,8.1,8.6,1.8,-1.4,2.1,0.068,80.0,74.672,78.287,3.005,55.4377,52.4324
2018,HOU,UTA,5,108.6,98.6,111.1,100.8,0.523,0.518,10.3,15.0,17.1,15.9,0.205,0.174,False,10.3,10.0,0.5,-4.7,1.2,0.031,80.0,79.31,83.116,2.042,56.5389,54.4968
2019,MIL,BOS,5,113.0,104.4,109.1,100.8,0.514,0.473,10.8,12.2,18.9,15.1,0.216,0.249,False,8.3,8.6,4.1,-1.4,3.8,-0.033,80.0,75.046,78.686,2.119,54.8842,52.7656
2019,TOR,PHI,7,101.6,98.9,107.0,104.1,0.495,0.491,11.0,15.4,18.9,23.5,0.236,0.245,True,2.9,2.7,0.4,-4.4,-4.6,-0.009,57.143,59.258,60.931,0.201,54.3279,54.1268
2019,GSW,HOU,6,111.7,109.8,114.7,112.8,0.536,0.546,12.4,14.8,25.1,26.5,0.213,0.224,False,1.9,1.9,-1.0,-2.4,-1.4,-0.011,66.667,55.938,57.03,-1.011,57.3277,58.3392
2019,POR,DEN,7,111.3,113.1,112.6,114.5,0.492,0.477,9.4,8.9,26.0,31.0,0.215,0.257,False,-1.9,-1.8,1.5,0.5,-5.0,-0.042,57.143,44.444,43.421,0.041,53.19,53.1487
2020,BOS,TOR,7,105.0,99.7,105.4,100.1,0.523,0.484,14.4,12.5,17.6,15.9,0.221,0.177,False,5.3,5.3,3.9,1.9,1.7,0.044,57.143,67.271,70.153,4.384,56.4273,52.0429
2020,MIA,MIL,5,112.8,106.0,114.8,107.9,0.55,0.501,14.0,11.9,19.5,22.8,0.288,0.227,False,6.9,6.8,4.9,2.1,-3.3,0.061,80.0,70.368,73.613,6.393,60.4787,54.086
2020,DEN,LAC,7,103.6,103.1,109.6,109.1,0.536,0.511,13.9,12.9,21.8,23.2,0.204,0.218,False,0.5,0.5,2.5,1.0,-1.4,-0.014,57.143,51.682,51.995,1.997,57.2561,55.2596
2020,LAL,HOU,5,111.0,103.8,115.1,107.7,0.585,0.534,16.0,13.8,25.4,13.4,0.197,0.249,True,7.4,7.2,5.1,2.2,12.0,-0.052,80.0,71.766,75.149,3.685,61.3667,57.682
2021,MIL,BRK,7,101.9,104.7,104.2,107.2,0.498,0.529,11.6,11.1,22.4,15.3,0.144,0.141,True,-3.0,-2.8,-3.1,0.5,7.1,0.003,57.143,40.684,39.001,-3.649,52.0803,55.7296
2021,ATL,PHI,7,107.9,110.7,109.1,112.0,0.506,0.55,10.8,12.4,19.7,20.4,0.226,0.234,False,-2.9,-2.8,-4.4,-1.6,-0.7,-0.008,57.143,41.184,39.587,-2.894,54.9139,57.8082
2021,PHO,DEN,4,121.5,105.8,123.7,107.7,0.59,0.509,10.3,10.1,17.4,23.2,0.229,0.109,False,16.0,15.7,8.1,0.2,-5.8,0.12,100.0,87.265,90.746,10.81,63.3274,52.5179
2021,LAC,UTA,6,120.0,111.5,128.2,119.1,0.598,0.573,10.0,12.6,22.7,22.9,0.242,0.209,False,9.1,8.5,2.5,-2.6,-0.2,0.033,66.667,73.535,77.069,3.442,63.8388,60.3965
2022,BOS,MIL,7,105.6,97.7,108.8,100.7,0.527,0.459,11.9,11.3,16.4,23.6,0.194,0.174,False,8.1,7.9,6.8,0.6,-7.2,0.02,57.143,74.68,78.296,6.701,56.3434,49.6429
2022,MIA,PHI,6,105.2,97.5,112.7,104.5,0.521,0.514,12.5,14.7,25.5,17.7,0.22,0.217,False,8.2,7.7,0.7,-2.2,7.8,0.003,66.667,74.218,77.802,0.451,56.3997,55.9487
2022,DAL,PHO,7,107.6,104.4,115.9,112.5,0.557,0.541,11.4,14.4,18.1,27.8,0.211,0.181,False,3.4,3.2,1.6,-3.0,-9.7,0.03,57.143,60.347,62.202,1.569,59.1386,57.5699
2022,GSW,MEM,6,111.0,110.3,109.0,108.4,0.533,0.496,15.5,10.3,26.9,24.3,0.152,0.172,True,0.6,0.7,3.7,5.2,2.6,-0.02,66.667,52.199,52.607,3.315,56.1362,52.8214
2023,MIA,NYK,6,104.3,100.5,112.7,108.5,0.493,0.502,9.7,13.4,23.2,27.2,0.229,0.26,False,4.2,3.8,-0.9,-3.7,-4.0,-0.031,66.667,62.627,64.848,-0.567,54.1597,54.7266
2023,BOS,PHI,7,110.7,101.9,118.2,108.7,0.554,0.498,10.8,11.4,21.3,19.1,0.211,0.229,False,9.5,8.8,5.6,-0.6,2.2,-0.018,57.143,75.991,79.685,4.318,59.3706,55.0528
2023,DEN,PHO,6,117.2,107.7,121.3,111.4,0.554,0.534,10.0,11.2,26.4,19.4,0.219,0.17,True,9.9,9.5,2.0,-1.2,7.0,0.049,66.667,76.42,80.135,2.963,59.4594,56.4962
2023,LAL,GSW,6,112.7,109.8,113.9,111.1,0.535,0.523,10.0,12.4,19.1,27.0,0.245,0.105,False,2.8,2.9,1.2,-2.4,-7.9,0.14,66.667,58.967,60.591,3.661,57.8371,54.1763
2024,IND,NYK,7,115.3,111.3,124.4,120.1,0.603,0.532,11.2,10.6,26.0,30.6,0.14,0.223,False,4.3,4.0,7.1,0.6,-4.6,-0.083,57.143,62.037,64.166,4.919,62.1037,57.1852
2024,BOS,CLE,5,108.4,101.2,120.4,112.4,0.571,0.533,11.3,8.6,25.7,16.9,0.18,0.102,True,8.0,7.2,3.8,2.7,8.8,0.078,80.0,72.233,75.658,5.216,60.394,55.1775
2024,DAL,OKC,6,106.0,106.0,112.3,112.3,0.535,0.509,13.1,9.4,28.2,22.4,0.174,0.181,False,0.0,0.0,2.6,3.7,5.8,-0.007,66.667,50.0,50.0,1.023,55.7934,54.7709
2024,MIN,DEN,7,102.7,97.6,113.8,108.1,0.539,0.517,11.5,12.4,22.8,21.1,0.201,0.173,False,5.7,5.1,2.2,-0.9,1.7,0.028,57.143,67.007,69.855,2.057,57.2051,55.1482
2025,IND,CLE,5,117.6,114.2,116.7,113.3,0.585,0.49,13.3,11.7,18.0,28.8,0.22,0.295,False,3.4,3.4,9.5,1.6,-10.8,-0.075,80.0,60.063,61.871,7.043,61.7907,54.748
2025,NYK,BOS,6,105.7,105.2,112.9,112.4,0.508,0.515,11.7,12.2,29.6,27.6,0.211,0.176,False,0.5,0.5,-0.7,-0.5,2.0,0.035,66.667,51.648,51.955,-0.378,54.415,54.7933
2025,OKC,DEN,7,115.4,106.3,114.6,105.6,0.518,0.481,9.7,15.1,24.9,28.0,0.208,0.249,True,9.0,9.1,3.7,-5.4,-3.1,-0.041,57.143,75.815,79.499,2.312,55.5708,53.2585
2025,MIN,GSW,5,109.0,101.8,113.9,106.4,0.567,0.494,16.8,15.4,26.2,32.0,0.189,0.227,False,7.5,7.2,7.3,1.4,-5.8,-0.038,80.0,72.123,75.539,6.075,59.8165,53.7419
